,STATUS,PRICE,BED,BATH,ACRE LOT,FULL ADDRESS,STREET,CITY,STATE,HOUSE SIZE,ZIP
588536,for_sale,285000.0,3.0,3.0,1.0,"110 Willow Dr, Lords Valley, PA, 18428",110 Willow Dr,Lords Valley,Pennsylvania,3054.0,18428
588538,for_sale,159000.0,2.0,1.0,0.11,"8 Bruce St, Port Jervis, NY, 12771",8 Bruce St,Port Jervis,New York,980.0,12771
588544,for_sale,225000.0,5.0,2.0,0.08,"83 Franklin St, Port Jervis, NY, 12771",83 Franklin St,Port Jervis,New York,1696.0,12771
588546,for_sale,279000.0,4.0,3.0,0.2,"28 Richards Ave, Monticello, NY, 12701",28 Richards Ave,Monticello,New York,2288.0,12701
588560,for_sale,259000.0,3.0,2.0,1.08,"315 Maple Ridge Dr, Lords Valley, PA, 18428",315 Maple Ridge Dr,Lords Valley,Pennsylvania,1439.0,18428
588571,for_sale,689000.0,3.0,3.0,8.36,"23 Ivan Rd, Knowlton, NJ, 07832",23 Ivan Rd,Knowlton,New Jersey,3428.0,07832
588575,for_sale,232000.0,3.0,1.0,1.23,"117 Richardson Ave, Shohola, PA, 18458",117 Richardson Ave,Shohola,Pennsylvania,3052.0,18458
588578,for_sale,299000.0,4.0,3.0,4.9,"817 Peenpack Trl, Sparrow Bush, NY, 12780",817 Peenpack Trl,Sparrow Bush,New York,2610.0,12780
588580,for_sale,184900.0,2.0,1.0,0.11,"305 Avenue I, Matamoras, PA, 18336",305 Avenue I,Matamoras,Pennsylvania,2457.0,18336
588588,for_sale,229000.0,2.0,1.0,0.67,"32 Taylor Rd, Huguenot, NY, 12746",32 Taylor Rd,Huguenot,New York,1014.0,12746
588589,for_sale,425000.0,3.0,2.0,1.04,"203 Seneca Dr, Milford, PA, 18337",203 Seneca Dr,Milford,Pennsylvania,2196.0,18337
588597,for_sale,275000.0,4.0,2.0,0.45,"105 Pumice Ct, Milford, PA, 18337",105 Pumice Ct,Milford,Pennsylvania,1817.0,18337
